Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
14/07/2018,BTCUSD,6267.99,6317.84,6205.47,6270.31,425.57,2664428.61,0.0400000000,20:00,Saturday,July,0.0179275972,0.0206460799,2018
14/07/2018,BTCUSD,6237.68,6269.53,6200.01,6267.99,146.93,916476.48,0.4900000000,19:00,Saturday,July,0.0111451694,0.4359896433,2018
14/07/2018,BTCUSD,6255.49,6298,6229.48,6237.68,68.14,426747.86,-0.2800000000,18:00,Saturday,July,0.0109535784,0.2599241097,2018
14/07/2018,BTCUSD,6262,6270.59,6248.74,6255.49,259.41,1624071.38,-0.1039603960,17:00,Saturday,July,0.0034893005,0.2979405034,2018
14/07/2018,BTCUSD,6239.99,6270.69,6239.55,6262,133.93,838019.93,0.3527249242,16:00,Saturday,July,0.0049903926,0.7068079640,2018
14/07/2018,BTCUSD,6238.2,6240,6216.18,6239.99,47.57,296455.69,0.0286941746,15:00,Saturday,July,0.0038184092,0.0751469353,2018
14/07/2018,BTCUSD,6237,6244.43,6226.23,6238.2,48.81,304512.55,0.0192400192,14:00,Saturday,July,0.0029180696,0.0659340659,2018
14/07/2018,BTCUSD,6236.12,6240.92,6222.8,6237,32.42,201957.74,0.0141113385,13:00,Saturday,July,0.0029056529,0.0485651214,2018
14/07/2018,BTCUSD,6233,6242.21,6224.63,6236.12,82.37,513436.44,0.0500561527,12:00,Saturday,July,0.0028204717,0.1774744027,2018
14/07/2018,BTCUSD,6220.48,6239.45,6215.79,6233,42.5,264821.93,0.2012706415,11:00,Saturday,July,0.0038035650,0.5291631445,2018
14/07/2018,BTCUSD,6195.32,6223.48,6195.32,6220.48,39.45,244914.76,0.4100000000,10:00,Saturday,July,0.0045453665,0.8934659091,2018
14/07/2018,BTCUSD,6216.2,6219.54,6180,6195.32,130.22,807423.98,-0.3358965284,09:00,Saturday,July,0.0063607992,0.5280728376,2018
14/07/2018,BTCUSD,6220.06,6225,6203.79,6216.2,98.38,611258.48,-0.0620572792,08:00,Saturday,July,0.0034099350,0.1819896275,2018
14/07/2018,BTCUSD,6212.81,6225,6204.91,6220.06,95.79,595704.78,0.1200000000,07:00,Saturday,July,0.0032336415,0.3608760577,2018
14/07/2018,BTCUSD,6220.53,6230.1,6201.97,6212.81,75.07,466915.22,-0.1200000000,06:00,Saturday,July,0.0045221227,0.2744400995,2018
14/07/2018,BTCUSD,6216.99,6233.38,6210.57,6220.53,78.19,486424.82,0.0600000000,05:00,Saturday,July,0.0036689781,0.1551950899,2018
14/07/2018,BTCUSD,6206.99,6224.8,6200.03,6216.99,66.12,411019.51,0.1600000000,04:00,Saturday,July,0.0039906621,0.4037141704,2018
14/07/2018,BTCUSD,6225.99,6227.67,6193.5,6206.99,94.03,583969.64,-0.3100000000,03:00,Saturday,July,0.0054882838,0.5560433128,2018
14/07/2018,BTCUSD,6234.38,6240,6219.1,6225.99,56.15,349888.49,-0.1300000000,02:00,Saturday,July,0.0033523783,0.4014354067,2018
14/07/2018,BTCUSD,6237.99,6277.72,6214.11,6234.38,171.24,1069456.99,-0.0600000000,01:00,Saturday,July,0.0101971949,0.0567520830,2018
14/07/2018,BTCUSD,6215.59,6273.97,6208.78,6237.99,219.37,1370473.06,0.3600000000,00:00,Saturday,July,0.0104881435,0.3436109833,2018
13/07/2018,BTCUSD,6219.58,6248.94,6196,6215.59,136.74,850825.64,-0.0600000000,23:00,Friday,July,0.0085118288,0.0753683415,2018
13/07/2018,BTCUSD,6215.85,6225.39,6190.26,6219.58,123.72,767545.63,0.0600000000,22:00,Friday,July,0.0056516808,0.1061770566,2018
13/07/2018,BTCUSD,6186.39,6229,6180.01,6215.85,125.81,780174.87,0.4800000000,21:00,Friday,July,0.0079189964,0.6013472137,2018
13/07/2018,BTCUSD,6174.99,6227.63,6121.01,6186.39,612.28,3779623.53,0.1800000000,20:00,Friday,July,0.0172664247,0.1069217783,2018
13/07/2018,BTCUSD,6237.5,6245.78,6166.44,6174.99,521.21,3228298.36,-1.0021643287,19:00,Friday,July,0.0127198397,0.7878749685,2018
13/07/2018,BTCUSD,6264.94,6337.25,6226.99,6237.5,571.75,3589882.19,-0.4379930215,18:00,Friday,July,0.0175995301,0.2488663160,2018
13/07/2018,BTCUSD,6254.99,6267.99,6247.11,6264.94,97.84,612655.54,0.1600000000,17:00,Friday,July,0.0033381348,0.4765325670,2018
13/07/2018,BTCUSD,6259.88,6268.05,6240.81,6254.99,211.09,1319500.19,-0.0800000000,16:00,Friday,July,0.0043515211,0.1795154185,2018
13/07/2018,BTCUSD,6245.99,6259.88,6237,6259.88,195.93,1224745.98,0.2200000000,15:00,Friday,July,0.0036631503,0.6070804196,2018
13/07/2018,BTCUSD,6244.01,6264.35,6224.15,6245.99,255.99,1599106.41,0.0300000000,14:00,Friday,July,0.0064381703,0.0492537313,2018
13/07/2018,BTCUSD,6269.06,6275.68,6228.67,6244.01,394.0,2460513.08,-0.4000000000,13:00,Friday,July,0.0074987319,0.5328653478,2018
13/07/2018,BTCUSD,6241.75,6286.36,6238,6269.06,423.94,2655456.13,0.4400000000,12:00,Friday,July,0.0077478271,0.5647229115,2018
